checkpoint,epoch,train_loss,val_loss,iou,dice,pixel_accuracy,comment
best_unet.pth,26,,0.800671,0.588077,0.718247,0.895956,best checkpoint by validation IoU
last_unet.pth,30,,0.878892,0.557208,0.693837,0.875927,last checkpoint after training
